Tick 308(258), Delay 57 ms, IGT 00:12.868, RTA 00:34.208-00:34.265
Tick 309(259), Delay 33 ms, IGT 00:12.918, RTA 00:34.265-00:34.298
Tick 310(260), Delay 55 ms, IGT 00:12.968, RTA 00:34.298-00:34.353
Tick 311(261), Delay 59 ms, IGT 00:13.018, RTA 00:34.353-00:34.412
Tick 312(262), Delay 31 ms, IGT 00:13.068, RTA 00:34.412-00:34.443
Tick 313(263), Delay 64 ms, IGT 00:13.118, RTA 00:34.443-00:34.507
Tick 314(264), Delay 61 ms, IGT 00:13.168, RTA 00:34.507-00:34.568
Tick 315(265), Delay 33 ms, IGT 00:13.218, RTA 00:34.568-00:34.601
Tick 316(266), Delay 43 ms, IGT 00:13.268, RTA 00:34.601-00:34.644
Tick 317(267), Delay 56 ms, IGT 00:13.318, RTA 00:34.644-00:34.700
Tick 321(271), Delay 41 ms, IGT 00:13.518, RTA 00:34.848-00:34.889
Tick 322(272), Delay 59 ms, IGT 00:13.568, RTA 00:34.889-00:34.948
Tick 325(275), Delay 64 ms, IGT 00:13.718, RTA 00:35.042-00:35.106
Tick 326(276), Delay 37 ms, IGT 00:13.768, RTA 00:35.106-00:35.143
Tick 327(277), Delay 56 ms, IGT 00:13.818, RTA 00:35.143-00:35.199
Tick 328(278), Delay 62 ms, IGT 00:13.868, RTA 00:35.199-00:35.261
Tick 329(279), Delay 28 ms, IGT 00:13.918, RTA 00:35.261-00:35.289
Tick 330(280), Delay 61 ms, IGT 00:13.968, RTA 00:35.289-00:35.350
Tick 332(282), Delay 44 ms, IGT 00:14.068, RTA 00:35.396-00:35.440
Tick 333(283), Delay 58 ms, IGT 00:14.118, RTA 00:35.440-00:35.498
Tick 335(285), Delay 60 ms, IGT 00:14.218, RTA 00:35.544-00:35.604
Tick 336(286), Delay 73 ms, IGT 00:14.268, RTA 00:35.604-00:35.677
Tick 337(287), Delay 25 ms, IGT 00:14.318, RTA 00:35.677-00:35.702
Tick 340(290), Delay 56 ms, IGT 00:14.468, RTA 00:35.798-00:35.854
Tick 341(291), Delay 38 ms, IGT 00:14.518, RTA 00:35.854-00:35.892
Tick 344(294), Delay 97 ms, IGT 00:14.668, RTA 00:35.991-00:36.088
Tick 345(295), Delay 20 ms, IGT 00:14.718, RTA 00:36.088-00:36.108
Tick 346(296), Delay 40 ms, IGT 00:14.768, RTA 00:36.108-00:36.148
Tick 347(297), Delay 42 ms, IGT 00:14.818, RTA 00:36.148-00:36.190
Tick 348(298), Delay 55 ms, IGT 00:14.868, RTA 00:36.190-00:36.245
Tick 349(299), Delay 69 ms, IGT 00:14.918, RTA 00:36.245-00:36.314
Tick 350(300), Delay 32 ms, IGT 00:14.968, RTA 00:36.314-00:36.346
Tick 351(301), Delay 77 ms, IGT 00:15.018, RTA 00:36.346-00:36.423
Tick 352(302), Delay 19 ms, IGT 00:15.068, RTA 00:36.423-00:36.442
Tick 354(304), Delay 62 ms, IGT 00:15.168, RTA 00:36.491-00:36.553
Tick 356(306), Delay 43 ms, IGT 00:15.268, RTA 00:36.600-00:36.643
Tick 357(307), Delay 60 ms, IGT 00:15.318, RTA 00:36.643-00:36.703
Tick 358(308), Delay 39 ms, IGT 00:15.368, RTA 00:36.703-00:36.742
Tick 359(309), Delay 62 ms, IGT 00:15.418, RTA 00:36.742-00:36.804
Tick 360(310), Delay 36 ms, IGT 00:15.468, RTA 00:36.804-00:36.840
Tick 363(313), Delay 111 ms, IGT 00:15.618, RTA 00:36.944-00:37.055
Tick 364(314), Delay 4 ms, IGT 00:15.668, RTA 00:37.055-00:37.059
Tick 365(315), Delay 33 ms, IGT 00:15.718, RTA 00:37.059-00:37.092
Tick 371(321), Delay 41 ms, IGT 00:16.018, RTA 00:37.351-00:37.392
Tick 373(323), Delay 64 ms, IGT 00:16.118, RTA 00:37.446-00:37.510
Tick 374(324), Delay 45 ms, IGT 00:16.168, RTA 00:37.510-00:37.555
Tick 375(325), Delay 40 ms, IGT 00:16.218, RTA 00:37.555-00:37.595
Tick 376(326), Delay 58 ms, IGT 00:16.268, RTA 00:37.595-00:37.653
Tick 378(328), Delay 45 ms, IGT 00:16.368, RTA 00:37.703-00:37.748
Tick 379(329), Delay 43 ms, IGT 00:16.418, RTA 00:37.748-00:37.791
Tick 382(332), Delay 45 ms, IGT 00:16.568, RTA 00:37.895-00:37.940
Tick 383(333), Delay 86 ms, IGT 00:16.618, RTA 00:37.940-00:38.026
Tick 384(334), Delay 20 ms, IGT 00:16.668, RTA 00:38.026-00:38.046
Tick 387(337), Delay 57 ms, IGT 00:16.818, RTA 00:38.146-00:38.203
Tick 388(338), Delay 37 ms, IGT 00:16.868, RTA 00:38.203-00:38.240
Tick 389(339), Delay 56 ms, IGT 00:16.918, RTA 00:38.240-00:38.296
Tick 391(341), Delay 57 ms, IGT 00:17.018, RTA 00:38.343-00:38.400
Tick 392(342), Delay 42 ms, IGT 00:17.068, RTA 00:38.400-00:38.442
Tick 394(344), Delay 61 ms, IGT 00:17.168, RTA 00:38.490-00:38.551
Tick 395(345), Delay 41 ms, IGT 00:17.218, RTA 00:38.551-00:38.592
Tick 396(346), Delay 61 ms, IGT 00:17.268, RTA 00:38.592-00:38.653
